%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1492398279697537884,297,1492398279627949953,,-176.143684367,1.39233488169,-1.16438804012,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.035108726625,0.01160114445,-0.0334296136125,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7636925491,0.998495372577,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398279725452381,298,1492398279647886991,,-176.133180647,5.1090771656,-1.16438804012,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0355666665375,0.0123643776375,-0.0309872674125,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.78152282361,3.67303654912,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398279737665088,299,1492398279668349981,,-176.133180647,5.1090771656,-1.61679031067,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0337349068875,0.0123643776375,-0.033887553525,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.78152282361,3.67303654912,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398279757432710,300,1492398279687908887,,-176.133180647,5.1090771656,-1.61679031067,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03358226025,0.01282231755,-0.0297660943125,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.78152282361,3.67303654912,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398279777513902,301,1492398279708167076,,-176.133180647,5.1090771656,-1.61679031067,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.032666380425,0.012517024275,-0.030834620775,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.78152282361,3.67303654912,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398279799683280,302,1492398279727955102,,-176.107004529,4.86214018514,-1.61679031067,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.035719313175,0.0108379112625,-0.0325137337875,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.79935309812,3.49473380402,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398279819775798,303,1492398279747889041,,-176.107004529,4.86214018514,-1.61679031067,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0346507867125,0.0111432045375,-0.0303766808625,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.79935309812,3.49473380402,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398279838515946,304,1492398279767877101,,-176.107004529,4.86214018514,-1.61679031067,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0343454934375,0.0123643776375,-0.02991874095,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.79935309812,3.49473380402,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398279857278369,305,1492398279787909030,,-176.119958891,1.93890813634,-1.61679031067,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0334296136125,0.0138908440125,-0.0325137337875,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.78152282361,1.3907614118,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398279877302597,306,1492398279807914972,,-176.119958891,1.93890813634,-1.61679031067,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0340402001625,0.0108379112625,-0.02869756785,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.78152282361,1.3907614118,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
